features,Variance sum (m=none),Variance sum (m=50),Variance sum (m=500),Variance sum (m=1500),Variance sum (m=15000),Variance sum (m=75000),Variance sum (m=all)
st_AZ,0.0,0.0894696500546651,0.06257324898534461,0.057952332463526414,0.03354082781900519,0.04022072489086312,3.1126140515349266e-31
st_CA,0.0,11.24458823654611,5.847783396262437,4.795631242901682,4.943363498137272,5.349532347220322,1.274926715508706e-29
st_CO,0.0,2.347235641869061,0.8222516815111774,0.7541855365313476,1.7258872489518826,1.8211386418364646,2.4104083215086473e-29
st_CT,0.0,0.10592733136913307,0.025082177217537086,0.03026840848281564,0.03565291030411924,0.015211549414319864,4.482164234210295e-31
st_FL,0.0,262.7144249103078,113.95265152778586,159.95416982809087,117.50091733064805,115.48360274271779,8.159530979255719e-28
st_GA,0.0,0.18871790661925686,0.12645560162279035,0.06583671509834325,0.11461349568493034,0.16042577661039795,1.525180885252114e-31
st_IL,0.0,0.09891524567270867,0.06204211839945097,0.03257911503169109,0.05972234310645836,0.04198189738497596,2.5212173817432904e-31
st_IN,0.0,0.0024084905386015675,0.0004058158928338285,0.0009644657938021213,0.000755215482536919,0.0005333231378644803,7.003381615953586e-33
st_KY,0.0,0.002499181119768073,0.006898571624103095,0.005191956280224932,0.0034708297420513005,0.002305739384062435,1.2450456206139707e-32
st_MA,0.0,0.6123748038506112,0.17061121920172279,0.2996027351264602,0.14192557848790305,0.17106897088457101,1.792865693684118e-30
st_MD,0.0,0.8533091551732042,0.816494922264882,1.4537943623611278,0.714529281323127,0.3164895756387795,4.980182482455883e-32
st_MI,0.0,6.264543253044786,3.868023117940293,3.541426753820015,3.261893265486864,3.930547428988246,3.904463066245412e-29
st_MN,0.0,0.26654217245461537,0.22715729816062233,0.16912773497259748,0.1418637801367754,0.12296882707924278,4.482164234210295e-31
st_MO,0.0,0.08298454956425373,0.07237489965598883,0.04731944854835053,0.06976367183642264,0.05881573571559968,3.112614051534927e-33
st_NC,0.0,0.23820682960188183,0.12097448535412544,0.09318201110059603,0.1053159365033297,0.09866982431859957,1.792865693684118e-30
st_NJ,0.0,3.7832480812143188,5.073780960755167,2.7925051078679073,3.0648734320723947,3.1853245152709144,1.43927273742975e-29
st_NV,0.0,0.07618584434020433,0.021576985155146465,0.05050923457757083,0.09680104781312875,0.05864956363547679,7.781535128837317e-32
st_NY,0.0,0.03491964146945433,0.017640981787312274,0.0666644204666792,0.024020569979289745,0.021132723548600834,4.482164234210295e-31
st_OH,0.0,0.05229242293640641,0.05752885999764589,0.0620161400999558,0.05965246852980986,0.03314338452570173,1.0084869526973162e-30
st_OR,0.0,0.36333706044710146,0.32918113688134276,0.20850671125419945,0.2327187292179062,0.37242495531755293,3.598181843574375e-30
st_Other,0.0,7.947015836108352,6.373670377176511,3.145529419724103,3.1628456649917034,5.3227512602527804,3.187316788771765e-30
st_PA,0.0,1.0570623914089154,0.5059644948318807,0.4386017717465661,0.7220094583908998,0.5062697115624334,1.43927273742975e-29
st_SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st_TN,0.0,0.1600875970211029,0.3096338387876109,0.07759055994002823,0.08970497151362308,0.09320472519558272,4.482164234210295e-31
st_TX,0.0,4.432486332767825,2.5941788081157555,2.2217379984010237,2.114112092458121,3.513878898569891,5.099706862034824e-29
st_UT,0.0,0.042470916999710034,0.010863376033868784,0.008295420960222852,0.006789041325262069,0.0030474929831092452,1.9453837822093293e-34
st_VA,0.0,0.02695410991120438,0.02781872770021793,0.0285432540616843,0.12744064526001447,0.009444496891558636,0.0
st_WA,0.0,6.66733706043173,3.3735819520645336,2.608179531206896,2.057750970994916,1.0873245538660745,2.4104083215086473e-29
st_WI,0.0,0.06734799114037177,0.03673198437312778,0.02291000343417543,0.01333850024894943,0.02421537948736954,7.003381615953586e-33
"servicer_name_CALIBER HOME LOANS, INC.",0.0,0.578892898284049,0.3146993410456323,0.28863037478945164,0.2018101890731141,0.1527530021856243,1.792865693684118e-30
servicer_name_FREEDOM MORTGAGE CORPORATION,0.0,1.866550320396893,0.49345114805791745,1.0426890652050407,0.7740767968412295,1.1757964398585352,7.171462774736472e-30
"servicer_name_JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",0.0,35.349266953444726,17.946135799290285,12.956685771967722,14.638753575639711,13.999206018805548,2.8685851098945885e-27
"servicer_name_LAKEVIEW LOAN SERVICING, LLC",0.0,2.7773709704784117,1.8040681118493584,1.633435938567138,1.039866513597807,0.9729341353435972,4.033947810789265e-30
servicer_name_NATIONSTAR MORTGAGE LLC DBA MR. COOPER,0.0,0.7010755616112726,0.26761556227611133,0.3262210784482684,0.2986350716249878,0.2533361208947732,1.2450456206139707e-30
servicer_name_NEW RESIDENTIAL MORTGAGE LLC,0.0,1.6882130579450285,1.1141984541616883,0.8412253070244979,1.102275000301529,1.5653910544710417,1.613579124315706e-29
servicer_name_Other servicers,0.0,2047.782827614916,1036.952748372123,980.9258614013786,924.6277363126148,999.0347698242139,4.3163918880262745e-25
"servicer_name_PNC BANK, NA",0.0,1.7688576838830579,0.9987669755668173,0.7544671539119466,0.9952189289277272,1.1910162364567796,0.0
servicer_name_QUICKEN LOANS INC.,0.0,20.37929828237175,14.266658332406562,11.049677004263176,11.047584248462591,8.975302848233701,1.3466413432560706e-28
servicer_name_TRUIST BANK,0.0,6.484213524849362,3.435591632279298,2.901238120361634,2.6663463441330033,2.897746549461532,7.968291971929412e-29
servicer_name_U.S. BANK N.A.,0.0,1.859967097707554,1.4443236054062538,0.7625959943710899,0.8127208828428947,0.8803238413772126,9.76115766561353e-30
"servicer_name_WELLS FARGO BANK, N.A.",0.0,9.133004474531777,4.5979643715725595,4.263018699334579,3.7346524068829425,4.673130433840926,1.8358944703325367e-27
