Ranking of Feature (from most to least important),Possible Rankings with m=none,Possible Rankings with m=50,Possible Rankings with m=500,Possible Rankings with m=1500,Possible Rankings with m=15000,Possible Rankings with m=75000,Possible Rankings with m=all
26,['st_TX'],"['channel_C' 'st_Other' 'servicer_name_QUICKEN LOANS INC.' 'st_TX'
 'seller_name_U.S. BANK N.A.' 'rel_ref_ind'
 'seller_name_JPMORGAN CHASE BANK,' 'st_MI' 'loan_purpose_N' 'flag_fthb'
 'servicer_name_TRUIST BANK' 'st_CA' 'pre_relief_prog_F'
 'servicer_name_WELLS FARGO BANK, ' 'seller_name_QUICKEN LOANS INC.'
 'pre_relief_prog_N' 'seller_name_CALIBER HOME LOANS, ' 'st_NJ' 'st_CO']","['st_TX' 'st_Other' 'loan_purpose_N' 'seller_name_QUICKEN LOANS INC.'
 'st_MI' 'channel_C' 'seller_name_U.S. BANK N.A.' 'pre_relief_prog_F'
 'servicer_name_QUICKEN LOANS INC.' 'rel_ref_ind'
 'servicer_name_TRUIST BANK' 'flag_fthb' 'channel_R' 'st_CA']","['channel_C' 'st_Other' 'rel_ref_ind' 'seller_name_QUICKEN LOANS INC.'
 'servicer_name_TRUIST BANK' 'loan_purpose_N'
 'servicer_name_QUICKEN LOANS INC.' 'st_TX' 'pre_relief_prog_F'
 'servicer_name_LAKEVIEW LOAN SERV' 'st_MI' 'channel_R' 'st_CA'
 'flag_fthb' 'seller_name_U.S. BANK N.A.']","['channel_C' 'seller_name_QUICKEN LOANS INC.' 'st_Other'
 'servicer_name_QUICKEN LOANS INC.' 'st_TX' 'seller_name_U.S. BANK N.A.'
 'st_WA' 'rel_ref_ind' 'pre_relief_prog_F' 'st_MI' 'flag_fthb'
 'loan_purpose_N' 'seller_name_CALIBER HOME LOANS, ']","['pre_relief_prog_F' 'st_TX' 'seller_name_JPMORGAN CHASE BANK,' 'st_Other'
 'channel_C' 'servicer_name_TRUIST BANK' 'seller_name_QUICKEN LOANS INC.'
 'st_MI' 'servicer_name_QUICKEN LOANS INC.' 'rel_ref_ind' 'loan_purpose_N'
 'seller_name_U.S. BANK N.A.' 'seller_name_CALIBER HOME LOANS, ']",['pre_relief_prog_F']
27,['channel_C'],"['servicer_name_QUICKEN LOANS INC.' 'servicer_name_TRUIST BANK' 'st_Other'
 'st_TX' 'seller_name_JPMORGAN CHASE BANK,' 'channel_C' 'rel_ref_ind'
 'st_CA' 'flag_fthb' 'seller_name_U.S. BANK N.A.'
 'seller_name_STEARNS LENDING, LLC' 'st_NJ' 'loan_purpose_N'
 'pre_relief_prog_F' 'seller_name_QUICKEN LOANS INC.'
 'servicer_name_PNC BANK, NA' 'st_MI' 'st_CO'
 'servicer_name_U.S. BANK N.A.']","['channel_C' 'st_TX' 'st_Other' 'seller_name_QUICKEN LOANS INC.'
 'rel_ref_ind' 'servicer_name_QUICKEN LOANS INC.' 'flag_fthb'
 'pre_relief_prog_F' 'st_WA' 'seller_name_JPMORGAN CHASE BANK,' 'st_MI'
 'servicer_name_U.S. BANK N.A.' 'servicer_name_TRUIST BANK']","['st_TX' 'st_MI' 'channel_C' 'st_Other' 'servicer_name_TRUIST BANK'
 'seller_name_QUICKEN LOANS INC.' 'flag_fthb' 'pre_relief_prog_F'
 'servicer_name_QUICKEN LOANS INC.' 'rel_ref_ind' 'loan_purpose_N'
 'seller_name_U.S. BANK N.A.' 'st_NJ']","['pre_relief_prog_F' 'st_CA' 'flag_fthb' 'st_MI' 'channel_C' 'st_TX'
 'st_Other' 'seller_name_QUICKEN LOANS INC.' 'servicer_name_TRUIST BANK'
 'seller_name_U.S. BANK N.A.' 'loan_purpose_N' 'rel_ref_ind'
 'servicer_name_QUICKEN LOANS INC.']","['channel_C' 'servicer_name_QUICKEN LOANS INC.' 'st_TX' 'rel_ref_ind'
 'servicer_name_TRUIST BANK' 'flag_fthb' 'seller_name_QUICKEN LOANS INC.'
 'st_Other' 'pre_relief_prog_F' 'st_MI' 'servicer_name_NEW RESIDENTIAL MO'
 'seller_name_STEARNS LENDING, LLC' 'st_CA' 'st_NJ']",['channel_C']
28,['servicer_name_QUICKEN LOANS INC.'],"['st_Other' 'servicer_name_U.S. BANK N.A.' 'servicer_name_TRUIST BANK'
 'flag_fthb' 'channel_C' 'seller_name_QUICKEN LOANS INC.' 'st_TX' 'st_WA'
 'pre_relief_prog_F' 'servicer_name_QUICKEN LOANS INC.'
 'servicer_name_PNC BANK, NA' 'rel_ref_ind' 'loan_purpose_N'
 'servicer_name_LAKEVIEW LOAN SERV' 'st_MI' 'seller_name_U.S. BANK N.A.'
 'seller_name_STEARNS LENDING, LLC' 'st_CO']","['st_Other' 'channel_C' 'st_TX' 'servicer_name_TRUIST BANK' 'flag_fthb'
 'seller_name_QUICKEN LOANS INC.' 'rel_ref_ind' 'pre_relief_prog_F'
 'servicer_name_QUICKEN LOANS INC.' 'st_MI'
 'servicer_name_LAKEVIEW LOAN SERV' 'st_WA' 'servicer_name_U.S. BANK N.A.'
 'st_NJ']","['st_Other' 'channel_C' 'servicer_name_TRUIST BANK' 'flag_fthb'
 'servicer_name_QUICKEN LOANS INC.' 'seller_name_QUICKEN LOANS INC.'
 'pre_relief_prog_F' 'st_WA' 'st_MI' 'st_TX'
 'seller_name_CITIMORTGAGE, INC.' 'rel_ref_ind']","['servicer_name_QUICKEN LOANS INC.' 'channel_C' 'st_Other'
 'servicer_name_TRUIST BANK' 'st_TX' 'st_CA' 'rel_ref_ind' 'flag_fthb'
 'pre_relief_prog_F' 'st_WA' 'seller_name_QUICKEN LOANS INC.' 'st_MI'
 'st_NJ']","['st_TX' 'seller_name_QUICKEN LOANS INC.'
 'servicer_name_QUICKEN LOANS INC.' 'flag_fthb' 'pre_relief_prog_F'
 'st_Other' 'channel_C' 'servicer_name_TRUIST BANK' 'st_MI' 'rel_ref_ind'
 'seller_name_JPMORGAN CHASE BANK,' 'st_NJ' 'st_WA'
 'seller_name_U.S. BANK N.A.' 'servicer_name_U.S. BANK N.A.']",['flag_fthb']
29,['seller_name_QUICKEN LOANS INC.'],"['st_TX' 'flag_fthb' 'seller_name_NATIONSTAR MORTGAGE '
 'servicer_name_TRUIST BANK' 'channel_C' 'servicer_name_U.S. BANK N.A.'
 'seller_name_QUICKEN LOANS INC.' 'servicer_name_QUICKEN LOANS INC.'
 'pre_relief_prog_F' 'servicer_name_PNC BANK, NA' 'rel_ref_ind'
 'servicer_name_NEW RESIDENTIAL MO' 'st_Other' 'st_MI' 'st_WA' 'st_PA'
 'servicer_name_FREEDOM MORTGAGE C' 'seller_name_U.S. BANK N.A.']","['pre_relief_prog_F' 'flag_fthb' 'st_TX'
 'servicer_name_QUICKEN LOANS INC.' 'channel_C' 'st_Other'
 'servicer_name_U.S. BANK N.A.' 'st_MI' 'servicer_name_TRUIST BANK'
 'seller_name_QUICKEN LOANS INC.' 'seller_name_U.S. BANK N.A.'
 'servicer_name_NEW RESIDENTIAL MO' 'st_WA']","['servicer_name_QUICKEN LOANS INC.' 'flag_fthb'
 'servicer_name_TRUIST BANK' 'st_TX' 'channel_C' 'pre_relief_prog_F'
 'st_WA' 'seller_name_QUICKEN LOANS INC.' 'st_MI' 'st_Other'
 'servicer_name_NEW RESIDENTIAL MO' 'st_NJ']","['st_Other' 'channel_C' 'st_TX' 'pre_relief_prog_F' 'flag_fthb'
 'seller_name_QUICKEN LOANS INC.' 'st_MI'
 'servicer_name_QUICKEN LOANS INC.' 'servicer_name_TRUIST BANK' 'st_WA'
 'rel_ref_ind' 'st_NJ']","['seller_name_QUICKEN LOANS INC.' 'st_Other'
 'servicer_name_FREEDOM MORTGAGE C' 'servicer_name_TRUIST BANK'
 'seller_name_STEARNS LENDING, LLC' 'flag_fthb' 'rel_ref_ind' 'st_MI'
 'servicer_name_QUICKEN LOANS INC.' 'st_TX' 'st_NJ' 'channel_C'
 'pre_relief_prog_F' 'st_WA']",['servicer_name_TRUIST BANK']
30,['servicer_name_TRUIST BANK'],"['flag_fthb' 'seller_name_QUICKEN LOANS INC.' 'servicer_name_TRUIST BANK'
 'st_Other' 'pre_relief_prog_F' 'rel_ref_ind'
 'seller_name_NATIONSTAR MORTGAGE ' 'servicer_name_QUICKEN LOANS INC.'
 'st_MI' 'st_NJ' 'st_TX' 'st_WA' 'servicer_name_LAKEVIEW LOAN SERV'
 'servicer_name_NEW RESIDENTIAL MO' 'channel_C'
 'servicer_name_U.S. BANK N.A.' 'st_CO' 'seller_name_JPMORGAN CHASE BANK,'
 'seller_name_STEARNS LENDING, LLC']","['st_MI' 'pre_relief_prog_F' 'flag_fthb'
 'servicer_name_QUICKEN LOANS INC.' 'seller_name_QUICKEN LOANS INC.'
 'st_TX' 'servicer_name_TRUIST BANK' 'st_NJ' 'channel_C' 'rel_ref_ind'
 'st_WA' 'servicer_name_U.S. BANK N.A.' 'st_Other'
 'seller_name_FLAGSTAR BANK, FSB' 'servicer_name_NEW RESIDENTIAL MO']","['servicer_name_FREEDOM MORTGAGE C' 'st_NJ' 'st_CO'
 'servicer_name_QUICKEN LOANS INC.' 'st_MI' 'rel_ref_ind' 'st_MD'
 'flag_fthb' 'seller_name_QUICKEN LOANS INC.' 'servicer_name_TRUIST BANK'
 'pre_relief_prog_F' 'channel_C' 'st_TX' 'servicer_name_U.S. BANK N.A.'
 'st_Other' 'st_WA']","['seller_name_QUICKEN LOANS INC.' 'pre_relief_prog_F' 'flag_fthb'
 'servicer_name_TRUIST BANK' 'channel_C' 'rel_ref_ind'
 'servicer_name_QUICKEN LOANS INC.' 'st_TX' 'pre_relief_prog_N' 'st_MI'
 'st_NJ' 'servicer_name_U.S. BANK N.A.' 'servicer_name_LAKEVIEW LOAN SERV'
 'seller_name_JPMORGAN CHASE BANK,' 'st_Other' 'st_WA' 'st_CO'
 'seller_name_STEARNS LENDING, LLC' 'seller_name_CITIMORTGAGE, INC.']","['servicer_name_QUICKEN LOANS INC.' 'flag_fthb' 'pre_relief_prog_F'
 'st_MI' 'channel_C' 'servicer_name_U.S. BANK N.A.' 'st_Other' 'st_TX'
 'seller_name_QUICKEN LOANS INC.' 'servicer_name_TRUIST BANK'
 'seller_name_U.S. BANK N.A.' 'servicer_name_NEW RESIDENTIAL MO' 'st_NJ'
 'st_WA' 'seller_name_JPMORGAN CHASE BANK,'
 'servicer_name_FREEDOM MORTGAGE C']",['servicer_name_QUICKEN LOANS INC.']
31,['pre_relief_prog_F'],"['seller_name_QUICKEN LOANS INC.' 'rel_ref_ind' 'flag_fthb'
 'pre_relief_prog_F' 'st_NJ' 'st_MI' 'st_WA' 'st_TX'
 'servicer_name_TRUIST BANK' 'servicer_name_LAKEVIEW LOAN SERV'
 'servicer_name_U.S. BANK N.A.' 'st_MD' 'seller_name_JPMORGAN CHASE BANK,'
 'servicer_name_QUICKEN LOANS INC.' 'st_Other' 'st_CO' 'channel_C'
 'seller_name_STEARNS LENDING, LLC']","['flag_fthb' 'seller_name_QUICKEN LOANS INC.' 'st_MI'
 'seller_name_CITIMORTGAGE, INC.' 'pre_relief_prog_F'
 'servicer_name_QUICKEN LOANS INC.' 'servicer_name_TRUIST BANK' 'st_TX'
 'servicer_name_U.S. BANK N.A.' 'st_WA' 'st_Other' 'st_NJ'
 'seller_name_FLAGSTAR BANK, FSB' 'channel_C'
 'seller_name_JPMORGAN CHASE BANK,']","['flag_fthb' 'st_TX' 'pre_relief_prog_F'
 'servicer_name_QUICKEN LOANS INC.' 'servicer_name_NEW RESIDENTIAL MO'
 'st_WA' 'st_NJ' 'servicer_name_FREEDOM MORTGAGE C' 'st_MI'
 'seller_name_QUICKEN LOANS INC.' 'servicer_name_TRUIST BANK' 'st_Other'
 'servicer_name_U.S. BANK N.A.' 'servicer_name_LAKEVIEW LOAN SERV']","['servicer_name_NEW RESIDENTIAL MO' 'flag_fthb'
 'servicer_name_U.S. BANK N.A.' 'seller_name_QUICKEN LOANS INC.' 'st_WA'
 'st_MI' 'servicer_name_TRUIST BANK' 'servicer_name_QUICKEN LOANS INC.'
 'pre_relief_prog_F' 'st_TX' 'st_NJ' 'st_Other']","['flag_fthb' 'st_MI' 'st_TX' 'pre_relief_prog_F'
 'seller_name_QUICKEN LOANS INC.' 'servicer_name_QUICKEN LOANS INC.'
 'st_WA' 'servicer_name_TRUIST BANK' 'channel_C'
 'servicer_name_U.S. BANK N.A.' 'st_NJ' 'st_Other'
 'seller_name_FLAGSTAR BANK, FSB' 'servicer_name_NEW RESIDENTIAL MO'
 'seller_name_STEARNS LENDING, LLC' 'servicer_name_LAKEVIEW LOAN SERV'
 'rel_ref_ind']",['st_MI']
32,['st_MI'],"['st_CO' 'st_MI' 'servicer_name_U.S. BANK N.A.'
 'seller_name_QUICKEN LOANS INC.' 'servicer_name_TRUIST BANK'
 'servicer_name_QUICKEN LOANS INC.' 'st_NJ'
 'servicer_name_CALIBER HOME LOANS' 'st_TX' 'pre_relief_prog_F'
 'seller_name_STEARNS LENDING, LLC' 'seller_name_U.S. BANK N.A.'
 'servicer_name_PNC BANK, NA' 'flag_fthb'
 'seller_name_JPMORGAN CHASE BANK,' 'st_WA'
 'servicer_name_FREEDOM MORTGAGE C' 'servicer_name_LAKEVIEW LOAN SERV'
 'cnt_units_2' 'servicer_name_NEW RESIDENTIAL MO' 'rel_ref_ind' 'st_PA']","['seller_name_QUICKEN LOANS INC.' 'st_WA' 'st_MI' 'flag_fthb'
 'servicer_name_TRUIST BANK' 'seller_name_STEARNS LENDING, LLC'
 'servicer_name_QUICKEN LOANS INC.' 'servicer_name_U.S. BANK N.A.'
 'pre_relief_prog_F' 'st_TX' 'st_NJ' 'seller_name_NATIONSTAR MORTGAGE '
 'servicer_name_NEW RESIDENTIAL MO' 'seller_name_JPMORGAN CHASE BANK,'
 'servicer_name_LAKEVIEW LOAN SERV' 'st_CO' 'servicer_name_PNC BANK, NA']","['st_MI' 'seller_name_QUICKEN LOANS INC.' 'servicer_name_U.S. BANK N.A.'
 'st_NJ' 'pre_relief_prog_F' 'servicer_name_QUICKEN LOANS INC.' 'st_WA'
 'servicer_name_TRUIST BANK' 'flag_fthb' 'st_TX'
 'seller_name_FLAGSTAR BANK, FSB' 'servicer_name_PNC BANK, NA'
 'servicer_name_NEW RESIDENTIAL MO' 'servicer_name_FREEDOM MORTGAGE C'
 'seller_name_STEARNS LENDING, LLC']","['flag_fthb' 'st_NJ' 'st_MI' 'pre_relief_prog_F'
 'seller_name_QUICKEN LOANS INC.' 'servicer_name_TRUIST BANK' 'st_TX'
 'servicer_name_FREEDOM MORTGAGE C' 'st_WA' 'rel_ref_ind'
 'servicer_name_QUICKEN LOANS INC.' 'servicer_name_U.S. BANK N.A.'
 'servicer_name_PNC BANK, NA' 'servicer_name_NEW RESIDENTIAL MO']","['servicer_name_FREEDOM MORTGAGE C' 'servicer_name_U.S. BANK N.A.'
 'seller_name_QUICKEN LOANS INC.' 'servicer_name_TRUIST BANK' 'st_MI'
 'flag_fthb' 'pre_relief_prog_F' 'servicer_name_QUICKEN LOANS INC.'
 'st_TX' 'servicer_name_NEW RESIDENTIAL MO' 'st_NJ' 'st_Other' 'st_WA'
 'seller_name_STEARNS LENDING, LLC' 'servicer_name_PNC BANK, NA']",['st_TX']
33,['flag_fthb'],"['st_MI' 'servicer_name_QUICKEN LOANS INC.' 'pre_relief_prog_F'
 'seller_name_QUICKEN LOANS INC.' 'flag_fthb'
 'servicer_name_U.S. BANK N.A.' 'st_TX' 'st_WA'
 'servicer_name_NEW RESIDENTIAL MO' 'servicer_name_FREEDOM MORTGAGE C'
 'servicer_name_LAKEVIEW LOAN SERV' 'servicer_name_TRUIST BANK'
 'seller_name_STEARNS LENDING, LLC' 'st_CO' 'channel_C'
 'seller_name_FLAGSTAR BANK, FSB' 'seller_name_NATIONSTAR MORTGAGE '
 'seller_name_CITIMORTGAGE, INC.' 'seller_name_JPMORGAN CHASE BANK,'
 'st_NJ']","['servicer_name_PNC BANK, NA' 'servicer_name_U.S. BANK N.A.'
 'servicer_name_TRUIST BANK' 'flag_fthb' 'seller_name_QUICKEN LOANS INC.'
 'seller_name_STEARNS LENDING, LLC' 'st_MI'
 'servicer_name_QUICKEN LOANS INC.' 'pre_relief_prog_F' 'cnt_units_2'
 'st_CO' 'st_TX' 'servicer_name_FREEDOM MORTGAGE C' 'st_WA'
 'servicer_name_NEW RESIDENTIAL MO' 'servicer_name_LAKEVIEW LOAN SERV'
 'st_NJ' 'seller_name_JPMORGAN CHASE BANK,']","['pre_relief_prog_F' 'seller_name_QUICKEN LOANS INC.'
 'servicer_name_TRUIST BANK' 'servicer_name_U.S. BANK N.A.' 'flag_fthb'
 'st_MI' 'servicer_name_NEW RESIDENTIAL MO' 'st_NJ'
 'servicer_name_FREEDOM MORTGAGE C' 'servicer_name_QUICKEN LOANS INC.'
 'servicer_name_LAKEVIEW LOAN SERV' 'st_WA'
 'seller_name_STEARNS LENDING, LLC' 'servicer_name_PNC BANK, NA' 'st_TX'
 'st_CO' 'seller_name_CITIMORTGAGE, INC.'
 'seller_name_JPMORGAN CHASE BANK,' 'seller_name_FLAGSTAR BANK, FSB']","['servicer_name_U.S. BANK N.A.' 'servicer_name_NEW RESIDENTIAL MO'
 'seller_name_QUICKEN LOANS INC.' 'st_WA' 'st_MI' 'pre_relief_prog_F'
 'servicer_name_TRUIST BANK' 'servicer_name_FREEDOM MORTGAGE C'
 'servicer_name_QUICKEN LOANS INC.' 'seller_name_NATIONSTAR MORTGAGE '
 'servicer_name_PNC BANK, NA' 'st_NJ' 'seller_name_STEARNS LENDING, LLC'
 'flag_fthb' 'seller_name_JPMORGAN CHASE BANK,']","['st_MI' 'pre_relief_prog_F' 'flag_fthb' 'seller_name_QUICKEN LOANS INC.'
 'servicer_name_NEW RESIDENTIAL MO' 'st_CO' 'servicer_name_TRUIST BANK'
 'servicer_name_QUICKEN LOANS INC.' 'servicer_name_U.S. BANK N.A.'
 'servicer_name_PNC BANK, NA' 'st_NJ' 'seller_name_FLAGSTAR BANK, FSB'
 'seller_name_JPMORGAN CHASE BANK,' 'st_WA'
 'seller_name_STEARNS LENDING, LLC' 'servicer_name_FREEDOM MORTGAGE C']",['seller_name_QUICKEN LOANS INC.']
34,['st_WA'],"['servicer_name_NEW RESIDENTIAL MO' 'cnt_units_2'
 'servicer_name_FREEDOM MORTGAGE C' 'servicer_name_QUICKEN LOANS INC.'
 'st_WA' 'st_TX' 'servicer_name_U.S. BANK N.A.'
 'servicer_name_TRUIST BANK' 'servicer_name_PNC BANK, NA'
 'seller_name_FLAGSTAR BANK, FSB' 'seller_name_CITIMORTGAGE, INC.'
 'servicer_name_LAKEVIEW LOAN SERV' 'st_MI' 'pre_relief_prog_F' 'st_NJ'
 'seller_name_QUICKEN LOANS INC.' 'flag_fthb'
 'seller_name_STEARNS LENDING, LLC' 'prop_type_PU' 'st_MA']","['servicer_name_U.S. BANK N.A.' 'st_MI' 'st_CO' 'st_WA'
 'servicer_name_NEW RESIDENTIAL MO' 'st_NJ' 'servicer_name_PNC BANK, NA'
 'pre_relief_prog_F' 'seller_name_QUICKEN LOANS INC.'
 'seller_name_STEARNS LENDING, LLC' 'st_MD'
 'seller_name_CITIMORTGAGE, INC.' 'flag_fthb'
 'servicer_name_QUICKEN LOANS INC.' 'servicer_name_TRUIST BANK' 'st_TX'
 'prop_type_PU' 'seller_name_NATIONSTAR MORTGAGE ']","['servicer_name_TRUIST BANK' 'st_MI' 'seller_name_STEARNS LENDING, LLC'
 'servicer_name_U.S. BANK N.A.' 'seller_name_QUICKEN LOANS INC.'
 'flag_fthb' 'prop_type_PU' 'servicer_name_QUICKEN LOANS INC.' 'st_TX'
 'st_WA' 'st_MD' 'pre_relief_prog_F' 'servicer_name_NEW RESIDENTIAL MO'
 'seller_name_JPMORGAN CHASE BANK,' 'servicer_name_FREEDOM MORTGAGE C'
 'st_CO' 'servicer_name_PNC BANK, NA' 'st_NJ' 'occpy_sts_P']","['st_MI' 'servicer_name_TRUIST BANK' 'servicer_name_NEW RESIDENTIAL MO'
 'flag_fthb' 'st_WA' 'servicer_name_U.S. BANK N.A.'
 'seller_name_QUICKEN LOANS INC.' 'pre_relief_prog_F'
 'servicer_name_FREEDOM MORTGAGE C' 'st_NJ' 'rel_ref_ind'
 'servicer_name_QUICKEN LOANS INC.' 'servicer_name_PNC BANK, NA' 'st_MD'
 'occpy_sts_P' 'seller_name_STEARNS LENDING, LLC' 'st_CO'
 'seller_name_JPMORGAN CHASE BANK,' 'seller_name_NATIONSTAR MORTGAGE '
 'seller_name_FLAGSTAR BANK, FSB']","['servicer_name_NEW RESIDENTIAL MO' 'servicer_name_PNC BANK, NA'
 'seller_name_STEARNS LENDING, LLC' 'prop_type_PU'
 'servicer_name_U.S. BANK N.A.' 'st_WA' 'seller_name_QUICKEN LOANS INC.'
 'st_NJ' 'servicer_name_TRUIST BANK' 'st_MI' 'pre_relief_prog_F'
 'servicer_name_FREEDOM MORTGAGE C' 'servicer_name_QUICKEN LOANS INC.'
 'seller_name_CITIMORTGAGE, INC.' 'seller_name_JPMORGAN CHASE BANK,'
 'st_CO']",['st_WA']
35,['servicer_name_U.S. BANK N.A.'],"['st_PA' 'st_NJ' 'servicer_name_NEW RESIDENTIAL MO' 'st_WA'
 'servicer_name_U.S. BANK N.A.' 'st_MI' 'st_OR'
 'servicer_name_LAKEVIEW LOAN SERV' 'servicer_name_PNC BANK, NA'
 'prop_type_PU' 'pre_relief_prog_F' 'servicer_name_NATIONSTAR MORTGAG'
 'st_TX' 'seller_name_QUICKEN LOANS INC.' 'rel_ref_ind' 'flag_fthb'
 'servicer_name_TRUIST BANK' 'seller_name_NATIONSTAR MORTGAGE '
 'servicer_name_QUICKEN LOANS INC.' 'occpy_sts_P'
 'servicer_name_FREEDOM MORTGAGE C' 'seller_name_STEARNS LENDING, LLC'
 'st_CO' 'seller_name_CITIMORTGAGE, INC.'
 'seller_name_JPMORGAN CHASE BANK,' 'cnt_units_2']","['servicer_name_NEW RESIDENTIAL MO' 'servicer_name_LAKEVIEW LOAN SERV'
 'servicer_name_PNC BANK, NA' 'occpy_sts_P' 'prop_type_PU'
 'servicer_name_TRUIST BANK' 'st_NJ' 'seller_name_JPMORGAN CHASE BANK,'
 'st_MI' 'servicer_name_U.S. BANK N.A.' 'pre_relief_prog_F' 'st_WA'
 'servicer_name_QUICKEN LOANS INC.' 'st_MD'
 'seller_name_STEARNS LENDING, LLC' 'seller_name_FLAGSTAR BANK, FSB'
 'st_TX' 'servicer_name_FREEDOM MORTGAGE C'
 'servicer_name_CALIBER HOME LOANS' 'st_CO' 'flag_fthb'
 'seller_name_QUICKEN LOANS INC.']","['seller_name_QUICKEN LOANS INC.' 'seller_name_STEARNS LENDING, LLC'
 'pre_relief_prog_F' 'prop_type_PU' 'servicer_name_NEW RESIDENTIAL MO'
 'servicer_name_TRUIST BANK' 'servicer_name_U.S. BANK N.A.'
 'servicer_name_QUICKEN LOANS INC.' 'st_MI' 'st_WA' 'st_MD'
 'seller_name_JPMORGAN CHASE BANK,' 'st_NJ'
 'servicer_name_FREEDOM MORTGAGE C' 'servicer_name_PNC BANK, NA'
 'servicer_name_LAKEVIEW LOAN SERV' 'seller_name_CITIMORTGAGE, INC.'
 'flag_fthb' 'st_PA' 'st_CO']","['st_NJ' 'servicer_name_TRUIST BANK' 'st_CO'
 'servicer_name_U.S. BANK N.A.' 'servicer_name_PNC BANK, NA'
 'servicer_name_LAKEVIEW LOAN SERV' 'st_MD'
 'servicer_name_FREEDOM MORTGAGE C' 'st_PA' 'st_MI' 'st_WA'
 'servicer_name_NEW RESIDENTIAL MO' 'servicer_name_QUICKEN LOANS INC.'
 'prop_type_PU' 'seller_name_STEARNS LENDING, LLC'
 'seller_name_CITIMORTGAGE, INC.' 'seller_name_QUICKEN LOANS INC.'
 'seller_name_JPMORGAN CHASE BANK,']","['servicer_name_TRUIST BANK' 'st_MI' 'seller_name_JPMORGAN CHASE BANK,'
 'seller_name_CITIMORTGAGE, INC.' 'servicer_name_PNC BANK, NA'
 'servicer_name_U.S. BANK N.A.' 'st_WA' 'servicer_name_FREEDOM MORTGAGE C'
 'seller_name_STEARNS LENDING, LLC' 'pre_relief_prog_F'
 'servicer_name_NEW RESIDENTIAL MO' 'servicer_name_LAKEVIEW LOAN SERV'
 'seller_name_FLAGSTAR BANK, FSB' 'st_NJ' 'st_PA' 'flag_fthb'
 'servicer_name_QUICKEN LOANS INC.' 'st_CO' 'prop_type_PU'
 'seller_name_QUICKEN LOANS INC.']",['servicer_name_U.S. BANK N.A.']
